排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,最低錄取分數,分數年度,分數來源備註,資優/特色班,排序分數
74,31414,桃園市世紀綠能工商,私立,基北區共同就學區,高中,男女兼收,桃園市,龜山區,桃園市龜山區明德路162巷100號,https://web.cgehs.tyc.edu.tw/,(03)3294187,餐飲管理科:11；機械科:3；汽車科:3；資訊科:3；幼兒保育科:3,23,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
75,31317,私立光啟高中,私立,基北區共同就學區,高中,男女兼收,桃園市,龜山區,桃園市龜山區自由街40號,http://www.phsh.tyc.edu.tw,(02)82098313,普通科:10；機械科:11；汽車科:11；電機科:11,43,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
76,330301,國立師大附中,公立,基北區,高中,男女兼收,臺北市,大安區,臺北市大安區和安里信義路三段143號,https://www.hs.ntnu.edu.tw/,(02)27075215,普通科:661,661,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
77,380301,國立政大附中,公立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區政大里政大一街353號,https://www.ahs.nccu.edu.tw/home,(02)82377500,普通科:163,163,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
78,343301,市立中山女中,公立,基北區,高中,男女兼收,臺北市,中山區,臺北市中山區力行里長安東路2段141號,http://www.csghs.tp.edu.tw,(02)25073148,普通科:709,709,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
79,313302,市立中崙高中,公立,基北區,高中,男女兼收,臺北市,松山區,臺北市松山區吉祥里八德路四段101號,http://www.zlsh.tp.edu.tw/,(02)27535316,普通科:259,259,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
80,423302,市立中正高中,公立,基北區,高中,男女兼收,臺北市,北投區,臺北市北投區建民里文林北路77號,https://www.ccsh.tp.edu.tw/,(02)28234811,普通科:449,449,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
81,403301,市立內湖高中,公立,基北區,高中,男女兼收,臺北市,內湖區,臺北市內湖區紫陽里文德路218號,http://www.nhsh.tp.edu.tw,(02)27977035,普通科:528,528,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
82,403401,市立內湖高工,公立,基北區,高中,男女兼收,臺北市,內湖區,臺北市內湖區港墘里內湖路1段520號,http://www.nihs.tp.edu.tw,(02)26574874,資訊科:72；電子科:96；控制科:44；電機科:88；冷凍空調科:48,348,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
83,353303,市立北一女中,公立,基北區,高中,男女兼收,臺北市,中正區,臺北市中正區建國里重慶南路1段165號,http://www.fg.tp.edu.tw,(02)23820484,普通科:704,704,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
84,373302,市立北市大附中,公立,基北區,高中,男女兼收,臺北市,萬華區,臺北市萬華區綠堤里長順街2號,https://newweb.tlsh.tp.edu.tw/nss/p/index,(02)23026959,綜合高中:234,234,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
85,393301,市立南港高中,公立,基北區,高中,男女兼收,臺北市,南港區,臺北市南港區西新里向陽路21號,http://www.nksh.tp.edu.tw,(02)27837863,普通科:193,193,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
86,393401,市立南港高工,公立,基北區,高中,男女兼收,臺北市,南港區,臺北市南港區南港里興中路29號,http://www.nkhs.tp.edu.tw,(02)27825432,電機科:49；冷凍空調科:20；多媒體設計科:49；機械科:54；模具科:40；汽車科:44；電子科:49；電機科:54,359,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
87,403303,市立南湖高中,公立,基北區,高中,男女兼收,臺北市,內湖區,臺北市內湖區南湖里康寧路三段220號,http://www.nhush.tp.edu.tw,(02)26308889,普通科:442,442,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
88,333301,市立和平高中,公立,基北區,高中,男女兼收,臺北市,大安區,臺北市大安區芳和里臥龍街100號,http://www.hpsh.tp.edu.tw,(02)27324300,普通科:321,321,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
89,413401,市立士林高商,公立,基北區,高中,男女兼收,臺北市,士林區,臺北市士林區後港里士商路150號,http://www.slhs.tp.edu.tw,(02)28313114,圖文傳播科:9；商業經營科:15；國際貿易科:12,36,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
90,343302,市立大同高中,公立,基北區,高中,男女兼收,臺北市,中山區,臺北市中山區中央里長春路167號,http://www.ttsh.tp.edu.tw,(02)25054269,普通科:461,461,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
91,333401,市立大安高工,公立,基北區,高中,男女兼收,臺北市,大安區,臺北市大安區龍圖里復興南路2段52號,http://www.taivs.tp.edu.tw,(02)27091630,綜合高中:124；機械科:54；電腦機械製圖科:56；汽車科:56；資訊科:52；電子科:49；控制科:37；機械科:9；汽車科:9；電子科:9；電機科:9；建築科:9,473,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
92,343303,市立大直高中,公立,基北區,高中,男女兼收,臺北市,中山區,臺北市中山區劍潭里北安路420號,http://www.dcsh.tp.edu.tw,(02)25334017,普通科:237,237,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
93,353301,市立建國中學,公立,基北區,高中,男女兼收,臺北市,中正區,臺北市中正區龍光里南海路56號,http://www.ck.tp.edu.tw,(02)23034381,普通科:840,840,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
94,423301,市立復興高中,公立,基北區,高中,男女兼收,臺北市,北投區,臺北市北投區開明里復興四路70號,http://www.fhsh.tp.edu.tw,(02)28914131,普通科:381,381,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
95,353302,市立成功中學,公立,基北區,高中,男女兼收,臺北市,中正區,臺北市中正區幸福里濟南路1段71號,http://www.cksh.tp.edu.tw,(02)23216256,普通科:641,641,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
96,363302,市立成淵高中,公立,基北區,高中,男女兼收,臺北市,大同區,臺北市大同區民權里承德路二段235號,http://www.cyhs.tp.edu.tw,(02)25531969,普通科:295,295,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
97,363301,市立明倫高中,公立,基北區,高中,男女兼收,臺北市,大同區,臺北市大同區重慶里承德路三段336號,https://www.mlsh.tp.edu.tw/nss/p/index,(02)25961567,普通科:428,428,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
98,383301,市立景美女中,公立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區樟文里木新路三段312號,http://www.cmgsh.tp.edu.tw,(02)29368847,普通科:461,461,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
99,383401,市立木柵高工,公立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區博嘉里木柵路四段77號,http://www.mcvs.tp.edu.tw,(02)22300506,電機科:52；冷凍空調科:49；建築科:52；圖文傳播科:54；機械科:67；模具科:27；製圖科:44；電子科:52,397,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
100,323401,市立松山家商,公立,基北區,高中,男女兼收,臺北市,信義區,臺北市信義區松隆里松山路655號,http://www.ssvs.tp.edu.tw,(02)27261118,資料處理科:1；廣告設計科:6；商業經營科:102；國際貿易科:77；會計事務科:26；資料處理科:51；應用英語科:51；廣告設計科:77,391,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
101,323402,市立松山工農,公立,基北區,技術型高中,男女兼收,臺北市,信義區,臺北市信義區廣居里忠孝東路五段236巷15號,http://www.saihs.edu.tw,(02)27226616,室內設計科:51；綜合高中:81；機械科:48；汽車科:48；資訊科:50；電子科:50；電機科:50,378,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
102,323301,市立松山高中,公立,基北區,高中,男女兼收,臺北市,信義區,臺北市信義區新仁里基隆路一段156號,http://www.sssh.tp.edu.tw,(02)27535968,普通科:646,646,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
103,323302,市立永春高中,公立,基北區,高中,男女兼收,臺北市,信義區,臺北市信義區松隆里松山路654號,http://www.ycsh.tp.edu.tw,(02)27272983,普通科:419,419,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
104,413302,市立百齡高中,公立,基北區,高中,男女兼收,臺北市,士林區,臺北市士林區義信里承德路4段177號,http://www.blsh.tp.edu.tw,(02)28831568,普通科:199,199,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
105,393302,市立育成高中,公立,基北區,高中,男女兼收,臺北市,南港區,臺北市南港區南港里重陽路366號,http://mars.yucsh.tp.edu.tw/ischool/publish_page/0/,(02)26530475,普通科:464,464,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
106,373301,市立華江高中,公立,基北區,高中,男女兼收,臺北市,萬華區,臺北市萬華區日善里西藏路213號,http://www.hcsh.tp.edu.tw,(02)23019946,普通科:433,433,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
107,383302,市立萬芳高中,公立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區興光里興隆路三段115巷1號,http://www.wfsh.tp.edu.tw,(02)22309585,普通科:246,246,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
108,313301,市立西松高中,公立,基北區,高中,男女兼收,臺北市,松山區,臺北市松山區鵬程里健康路325巷7號,http://www.hssh.tp.edu.tw,(02)25286618,普通科:265,265,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
109,413301,市立陽明高中,公立,基北區,高中,男女兼收,臺北市,士林區,臺北市士林區後港里中正路510號,http://www.ymsh.tp.edu.tw,(02)28316675,普通科:342,342,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
110,403302,市立麗山高中,公立,基北區,高中,男女兼收,臺北市,內湖區,臺北市內湖區港華里環山路二段100號,http://www.lssh.tp.edu.tw,(02)26570435,普通科:230,230,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
111,381304,私立再興中學,私立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區明義里興隆路4段2號,http://www.thsh.tp.edu.tw,(02)29366803,普通科:41,41,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
112,321399,私立協和祐德高中,私立,基北區,高中,男女兼收,臺北市,信義區,臺北市信義區大道里忠孝東路五段790巷27號,https://www.hhvs.tp.edu.tw/,(02)27263131,普通科:24；汽車科:39,63,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
113,351B09,私立南華高中進修學校,私立,基北區,高中,男女兼收,臺北市,中正區,臺北市中正區富水里汀州路3段58號,http://www.nhwsh.tp.edu.tw,(02)23686818,觀光事業科:45；普通科:37；觀光事業科:37；資料處理科:37,156,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
114,331403,私立喬治工商,私立,基北區,高中,男女兼收,臺北市,信義區,臺北市信義區黎順里基隆路二段155號,https://www.gvs.tp.edu.tw/,(02)27386515,時尚造型科:60；餐飲管理科:20,80,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
115,381303,私立大誠高中,私立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區萬興里秀明路二段175號,https://www.tcsh.tp.edu.tw/,(02)22348989,餐飲管理科:28,28,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
116,421303,私立奎山實驗高級中學,私立,基北區,高中,男女兼收,臺北市,北投區,臺北市北投區榮華里明德路200號,https://www.kshs.tp.edu.tw/,(02)28212009,普通科:8,8,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
117,331301,私立延平中學,私立,基北區,高中,男女兼收,臺北市,大安區,臺北市大安區和安里建國南路1段275號,http://www.yphs.tp.edu.tw,(02)27071478,普通科:96,96,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
118,331304,私立復興實驗高中,私立,基北區,高中,男女兼收,臺北市,大安區,臺北市大安區仁愛里敦化南路一段262號,https://www.fhjh.tp.edu.tw/,(02)27715859,觀光事業科:18；普通科:29,47,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
119,361B09,私立志仁中學進修學校,私立,基北區,高中,男女兼收,臺北市,大同區,臺北市大同區建泰里南京西路64巷17號,http://www.cjvs.tp.edu.tw,(02)25551656,美容科:37；觀光事業科:37；資料處理科:33；多媒體設計科:33；觀光事業科:66；餐飲管理科:66；餐飲管理科:33；觀光事業科:33,338,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
120,381305,私立景文高中,私立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區木新里保儀路127號,https://www.jwsh.tp.edu.tw/,(02)29390310,普通科:78；商業經營科:21,99,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
121,381301,私立東山高中,私立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區老泉里老泉街26巷3號,http://www.tshs.tp.edu.tw,(02)29395826,普通科:149；資訊科:41；應用日語科:27；普通科:72,289,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
122,411301,私立泰北高中,私立,基北區,高中,男女兼收,臺北市,士林區,臺北市士林區福林里福林路240號,http://www.tpsh.tp.edu.tw,(02)28825560,普通科:56；應用日語科:8；廣告設計科:7,71,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
123,381302,私立滬江高中,私立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區景美里羅斯福路六段336號,https://www.hchs.tp.edu.tw/,(02)86631122,室內空間設計科:25；餐飲管理科:25,50,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
124,341402,私立稻江護家,私立,基北區,高中,男女兼收,臺北市,中山區,臺北市中山區新庄里新生北路三段55號,http://www.tcnvs.tp.edu.tw,(02)25955161,餐飲管理科:12；應用英語科:36；應用日語科:72；幼兒保育科:72；時尚造型科:63,255,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
125,361401,私立稻江高商,私立,基北區,高中,男女兼收,臺北市,大同區,臺北市大同區隆和里民權西路225巷24號,http://www.tkcvs.tp.edu.tw,(02)25912001,觀光事業科:89,89,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
126,311401,私立育達高中,私立,基北區,高中,男女兼收,臺北市,松山區,臺北市松山區美仁里寧安街12號,http://www.yudah.tp.edu.tw,(02)25706767,普通科:44；多媒體設計科:178；烘焙科:131；時尚造型科:178；觀光事業科:89,620,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
127,411303,私立華興中學,私立,基北區,高中,男女兼收,臺北市,士林區,臺北市士林區芝山里仰德大道1段101號,http://www.hhhs.tp.edu.tw,(02)28316834,普通科:27,27,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
128,421301,私立薇閣高中,私立,基北區,高中,男女兼收,臺北市,北投區,臺北市北投區中心里珠海路50號,https://www.wghs.tp.edu.tw/nss/p/index,(02)28925332,普通科:57,57,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
129,411302,私立衛理女中,私立,基北區,高中,男女兼收,臺北市,士林區,臺北市士林區臨溪里至善路二段321號,http://www.wlgsh.tp.edu.tw,(02)28411487,多媒體設計科:26；表演藝術科:26；普通科:64,116,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
130,401303,私立達人高中,私立,基北區,高中,男女兼收,臺北市,內湖區,臺北市內湖區湖濱里內湖路二段314號,https://www1.trgsh.tp.edu.tw/,(02)27956899,普通科:29,29,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
131,331302,私立金甌女中,私立,基北區,高中,男女兼收,臺北市,大安區,臺北市大安區光明里杭州南路2段1號,http://www.cogsh.tp.edu.tw,(02)23214765,普通科:158；商業經營科:65；應用英語科:45；應用日語科:45；多媒體設計科:45,358,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
132,331404,私立開平餐飲,私立,基北區,高中,男女兼收,臺北市,大安區,臺北市大安區龍陣里復興南路二段148巷24號,http://www.kpvs.tp.edu.tw,(02)27556939,餐飲管理科:22,22,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
133,361301,私立靜修高中,私立,基北區,高中,男女兼收,臺北市,大同區,臺北市大同區雙連里寧夏路59號,http://www.bish.tp.edu.tw,(02)25574345,普通科:95；應用英語科:57,152,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
134,381306,私立靜心高中,私立,基北區,高中,男女兼收,臺北市,文山區,臺北市文山區興福里興隆路二段46號,http://www.chjhs.tp.edu.tw/dispPageBox/MainHp.aspx?ddsPageID=MAINHP,(02)29323118,廣告設計科:12；普通科:16,28,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
135,351402,臺北市開南高中,私立,基北區,高中,男女兼收,臺北市,中正區,臺北市中正區東門里濟南路一段6號,https://www.knvs.tp.edu.tw/,(02)23212666,餐飲管理科:63；綜合高中:37；汽車科:37；資訊科:37；電機科:37；廣告設計科:37,248,,,,教育部115學年度高中職名錄；招生與科系依115學年度基北區免試入學簡章整理。未填最低錄取分數，避免引用未經官方統一核定的估算值。,資優/特色班請依各校及基北區官方公告查詢,
