排名,學校代碼,學校名稱,公私立,招生區,學制分類,男女校,縣市,區,地址,官網,電話,科系與名額,簡章招生名額,招生名額,資優班/特色班,住宿資訊,課程方向,實習／專題,校車／專車資訊,通勤資訊,住宿資訊,Google地圖,課程資料來源,實習專題資料來源,校車／專車資料來源,通勤資料來源,住宿資料來源,地址資料來源,生活資料來源,資料更新日期
,124340,高雄市立福誠高中,公立,高雄區學校名錄,高中,男女校,高雄市,鳳山區,高雄市鳳山區五甲三路176號,https://www.ftm.kh.edu.tw/,(07)8224646,普通科(日)；體育班(日),,,請以各校當年度公告為準,高雄市立福誠高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立福誠高中以部定必修、校訂課程、多元選修與彈性學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有體育班等班別，相關課程依班別深化。,高雄市立福誠高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,高雄市立福誠高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由捷運前鎮高中站2號出口步行前往；紅10、紅11、黃2等公車可到福誠高中，另有12、69等路線停靠周邊。,高雄市立福誠高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E7%A6%8F%E8%AA%A0%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%B3%B3%E5%B1%B1%E5%8D%80%E4%BA%94%E7%94%B2%E4%B8%89%E8%B7%AF176%E8%99%9F,https://www.ftm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ftm.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.ftm.kh.edu.tw/,https://www.ftm.kh.edu.tw/view/index.php?MainMenuId=61533&MainType=0&NowMainId=61533&NowSubId=61537&SubMenuId=61537&SubType=103&WebID=76,https://www.ftm.kh.edu.tw/,https://www.ftm.kh.edu.tw/,https://www.ftm.kh.edu.tw/,2026-09-07
,521301,天主教明誠高中,私立,高雄區學校名錄,高中,男女校,高雄市,鼓山區,高雄市鼓山區中華一路97號,http://www.mcsh.kh.edu.tw/,(07)5521593,普通科(日),,,請以各校當年度公告為準,天主教明誠高中的一般高中職學生住宿目前沒有固定公開申請資訊。,天主教明誠高中以語文、數理、自然與社會領域課程，搭配校訂必修、多元選修與自主學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容。,天主教明誠高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,有校車。高中部招生專區提供校車路線圖，並列有115年校車路線資料。,可由高雄輕軌美術館、內惟一帶車站或鼓山地區公車轉乘，在中華一路周邊下車後步行到天主教明誠高中。,天主教明誠高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E4%B8%BB%E6%95%99%E6%98%8E%E8%AA%A0%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E4%B8%AD%E8%8F%AF%E4%B8%80%E8%B7%AF97%E8%99%9F,http://www.mcsh.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,http://www.mcsh.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.mcsh.kh.edu.tw/InsidePage/EnrollArea/80930,https://www.google.com/maps/search/?api=1&query=%E5%A4%A9%E4%B8%BB%E6%95%99%E6%98%8E%E8%AA%A0%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E4%B8%AD%E8%8F%AF%E4%B8%80%E8%B7%AF97%E8%99%9F | https://ibus.tbkc.gov.tw/,http://www.mcsh.kh.edu.tw/,http://www.mcsh.kh.edu.tw/,http://www.mcsh.kh.edu.tw/,2026-09-07
,521303,私立大榮高中,私立,高雄區學校名錄,綜高,男女校,高雄市,鼓山區,高雄市鼓山區大榮街1號,https://www.dystcs.kh.edu.tw/,(07)5613281,普通科(日)；汽車科(日)；電機科(日)；飛機修護科(日),,,請以各校當年度公告為準,私立大榮高中的一般高中職學生住宿目前沒有固定公開申請資訊。,私立大榮高中兼具普通高中學術課程與汽車科、電機科、飛機修護科等專業方向，課程包含語文數理、探究學習、多元選修及技術專業課程，提供學術與職涯兩種延伸路徑。,私立大榮高中的汽車科、電機科、飛機修護科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,私立大榮高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由高雄輕軌美術館、內惟一帶車站或鼓山地區公車轉乘，在大榮街周邊下車後步行到私立大榮高中。,私立大榮高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%A4%A7%E6%A6%AE%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E5%A4%A7%E6%A6%AE%E8%A1%971%E8%99%9F,https://www.dystcs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.dystcs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.dystcs.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E5%A4%A7%E6%A6%AE%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E5%A4%A7%E6%A6%AE%E8%A1%971%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.dystcs.kh.edu.tw/,https://www.dystcs.kh.edu.tw/,https://www.dystcs.kh.edu.tw/,2026-09-07
,521401,私立中華藝校,私立,高雄區學校名錄,高職,男女校,高雄市,鼓山區,高雄市鼓山區美術館路89號,https://www.charts.kh.edu.tw/,(07)5549696,音樂科(日)；舞蹈科(日)；美術科(日)；影劇科(日)；多媒體動畫科(日)；影劇技術科(日),,,請以各校當年度公告為準,學校設有學生住宿安排。115學年度註冊與新生資料列有住宿生入住資訊，主要服務有住宿需求的學生。,私立中華藝校以音樂科、舞蹈科、美術科、影劇科、多媒體動畫科、影劇技術科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,私立中華藝校的音樂科、舞蹈科、美術科、影劇科、多媒體動畫科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,私立中華藝校目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由高雄輕軌美術館、內惟一帶車站或鼓山地區公車轉乘，在美術館路周邊下車後步行到私立中華藝校。,學校設有學生住宿安排。115學年度註冊與新生資料列有住宿生入住資訊，主要服務有住宿需求的學生。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%B8%AD%E8%8F%AF%E8%97%9D%E6%A0%A1%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E7%BE%8E%E8%A1%93%E9%A4%A8%E8%B7%AF89%E8%99%9F,https://web.charts.kh.edu.tw/aa/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E5%8F%8A%E6%89%8B%E5%86%8A/,https://web.charts.kh.edu.tw/aa/%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E5%8F%8A%E6%89%8B%E5%86%8A/,https://www.charts.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E4%B8%AD%E8%8F%AF%E8%97%9D%E6%A0%A1%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E7%BE%8E%E8%A1%93%E9%A4%A8%E8%B7%AF89%E8%99%9F | https://ibus.tbkc.gov.tw/,https://web.charts.kh.edu.tw/hs/2026/06/29/%E6%9C%AC%E6%A0%A1115%E5%AD%B8%E5%B9%B4%E7%AC%AC%E4%B8%80%E5%AD%B8%E6%9C%9F%E9%AB%98%E4%BA%8C%E5%8F%8A%E9%AB%98%E4%B8%89%E5%AD%B8%E7%94%9F%E8%A8%BB%E5%86%8A%E9%A0%88%E7%9F%A5/,https://www.charts.kh.edu.tw/,https://www.charts.kh.edu.tw/,2026-09-07
,523301,高雄市立鼓山高中,公立,高雄區學校名錄,高中,男女校,高雄市,鼓山區,高雄市鼓山區明德路2號,https://www.kusjh.kh.edu.tw/,(07)5213258,普通科(日)；美術班(日)；體育班(日),,,請以各校當年度公告為準,高雄市立鼓山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立鼓山高中以語文、數理、自然與社會領域課程，搭配校訂必修、多元選修與自主學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有美術班、體育班等班別，相關課程依班別深化。,高雄市立鼓山高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習，另包含美術作品與展演。,高雄市立鼓山高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由高雄輕軌美術館、內惟一帶車站或鼓山地區公車轉乘，在明德路周邊下車後步行到高雄市立鼓山高中。,高雄市立鼓山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E9%BC%93%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E6%98%8E%E5%BE%B7%E8%B7%AF2%E8%99%9F,https://www.kusjh.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.kusjh.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.kusjh.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E9%BC%93%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E9%BC%93%E5%B1%B1%E5%8D%80%E6%98%8E%E5%BE%B7%E8%B7%AF2%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.kusjh.kh.edu.tw/,https://www.kusjh.kh.edu.tw/,https://www.kusjh.kh.edu.tw/,2026-09-07
,533301,高雄市立左營高中,公立,高雄區學校名錄,高中,男女校,高雄市,左營區,高雄市左營區海功路55號,https://www.tyhs.kh.edu.tw/,(07)5822010,普通科(日)；普通科(夜)；舞蹈班(日)；體育班(日),,,請以各校當年度公告為準,高雄市立左營高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立左營高中以語文、數理、自然與社會領域課程，搭配校訂必修、多元選修與自主學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有舞蹈班、體育班等班別，相關課程依班別深化。,高雄市立左營高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習，另包含舞蹈術科與展演。,有學生專車。115學年度第一學期規劃 A 至 G 共 7 條專車路線，校方公布站點、時間與搭乘資料。,可由高鐵／臺鐵新左營站或捷運左營站轉乘紅51、紅53、301等公車至校門；捷運世運站亦可步行到校。,高雄市立左營高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E5%B7%A6%E7%87%9F%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B7%A6%E7%87%9F%E5%8D%80%E6%B5%B7%E5%8A%9F%E8%B7%AF55%E8%99%9F,https://www.tyhs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tyhs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.tyhs.kh.edu.tw/notice/37398?sidemenuid=4,https://www.tyhs.kh.edu.tw/notice/32714?sidemenuid=4,https://www.tyhs.kh.edu.tw/,https://www.tyhs.kh.edu.tw/,https://www.tyhs.kh.edu.tw/,2026-09-07
,533302,高雄市立新莊高中,公立,高雄區學校名錄,高中,男女校,高雄市,左營區,高雄市左營區文慈路99號,https://www.hchs.kh.edu.tw/,(07)3420103,普通科(日)；音樂班(日)；體育班(日),,,請以各校當年度公告為準,高雄市立新莊高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立新莊高中以普通型高中核心課程，並透過校訂課程、多元選修及自主學習延伸個人興趣為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容；另設有音樂班、體育班等班別，相關課程依班別深化。,高雄市立新莊高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習，另包含音樂術科與成果演出。,高雄市立新莊高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由高鐵／臺鐵新左營站或捷運左營站1號出口轉乘3、90、61等公車，在重愛路新莊高中周邊下車。,高雄市立新莊高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%96%B0%E8%8E%8A%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B7%A6%E7%87%9F%E5%8D%80%E6%96%87%E6%85%88%E8%B7%AF99%E8%99%9F,https://www.hchs.kh.edu.tw/office/div_811/108course/%E5%90%84%E5%B9%B4%E5%BA%A6%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E6%9B%B8/,https://www.hchs.kh.edu.tw/office/div_811/108course/%E5%90%84%E5%B9%B4%E5%BA%A6%E8%AA%B2%E7%A8%8B%E8%A8%88%E7%95%AB%E6%9B%B8/,https://www.hchs.kh.edu.tw/,https://www.hchs.kh.edu.tw/about/%E4%BA%A4%E9%80%9A%E4%BD%8D%E7%BD%AE/,https://www.hchs.kh.edu.tw/,https://www.hchs.kh.edu.tw/,https://www.hchs.kh.edu.tw/,2026-09-07
,533401,高雄市立海青工商,公立,高雄區學校名錄,高職,男女校,高雄市,左營區,高雄市左營區左營大路1號,https://www.hcvs.kh.edu.tw/,(07)5819155,體育班(日)；資訊科(日)；電子科(日)；建築科(日)；美工科(日)；土木科(日)；室內空間設計科(日)；會計事務科(日)；資料處理科(日)；資料處理科(夜)；廣告設計科(日)；廣告設計科(夜),,,請以各校當年度公告為準,高雄市立海青工商的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立海青工商以體育班、資訊科、電子科、建築科、美工科、土木科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,高雄市立海青工商的體育班、資訊科、電子科、建築科、美工科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,高雄市立海青工商目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由臺鐵岡山站或捷運岡山一帶搭乘8015路線往左營方向，海青工商為沿線停靠點；也可由左營地區公車轉乘到校。,高雄市立海青工商的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%B5%B7%E9%9D%92%E5%B7%A5%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B7%A6%E7%87%9F%E5%8D%80%E5%B7%A6%E7%87%9F%E5%A4%A7%E8%B7%AF1%E8%99%9F,https://www.hcvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hcvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.hcvs.kh.edu.tw/,https://www.ksbus.com.tw/bus_info.asp?id=138,https://www.hcvs.kh.edu.tw/,https://www.hcvs.kh.edu.tw/,https://www.hcvs.kh.edu.tw/,2026-09-07
,533402,高雄市立三民家商,公立,高雄區學校名錄,高職,男女校,高雄市,左營區,高雄市左營區裕誠路1102號,https://www.smvhs.kh.edu.tw/,(07)5525887,體育班(日)；國際貿易科(日)；資料處理科(日)；觀光事業科(日)；餐飲管理科(日)；服裝科(日)；幼兒保育科(日)；美容科(日)；室內設計科(日)；綜合職能科(日),,,請以各校當年度公告為準,高雄市立三民家商的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立三民家商以體育班、國際貿易科、資料處理科、觀光事業科、餐飲管理科、服裝科為主要專業方向；115學年度課程依各科安排專業核心、實作課程、校訂選修與跨域應用，讓學生逐步銜接升學與技術能力。,高雄市立三民家商的體育班、國際貿易科、資料處理科、觀光事業科、餐飲管理科依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,高雄市立三民家商目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由高鐵／臺鐵新左營站或捷運左營、生態園區一帶轉乘市區公車，在裕誠路周邊下車後步行到高雄市立三民家商。,高雄市立三民家商的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E4%B8%89%E6%B0%91%E5%AE%B6%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B7%A6%E7%87%9F%E5%8D%80%E8%A3%95%E8%AA%A0%E8%B7%AF1102%E8%99%9F,https://www.smvhs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.smvhs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.smvhs.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E4%B8%89%E6%B0%91%E5%AE%B6%E5%95%86%20%E9%AB%98%E9%9B%84%E5%B8%82%E5%B7%A6%E7%87%9F%E5%8D%80%E8%A3%95%E8%AA%A0%E8%B7%AF1102%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.smvhs.kh.edu.tw/,https://www.smvhs.kh.edu.tw/,https://www.smvhs.kh.edu.tw/,2026-09-07
,540301,國立中山大學附屬國光高中,公立,高雄區學校名錄,高中,男女校,高雄市,楠梓區,高雄市楠梓區後昌路512號,https://kksh.nsysu.edu.tw/,(07)3603600,普通科(日),,,請以各校當年度公告為準,國立中山大學附屬國光高中的一般高中職學生住宿目前沒有固定公開申請資訊。,國立中山大學附屬國光高中以語文、數理、自然與社會領域課程，搭配校訂必修、多元選修與自主學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容。,國立中山大學附屬國光高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,國立中山大學附屬國光高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由楠梓區捷運站或臺鐵楠梓站轉乘市區公車至後昌路周邊站點，步行到國立中山大學附屬國光高中。,國立中山大學附屬國光高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E5%9C%8B%E5%85%89%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E5%BE%8C%E6%98%8C%E8%B7%AF512%E8%99%9F,https://kksh.nsysu.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://kksh.nsysu.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://kksh.nsysu.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E5%9C%8B%E7%AB%8B%E4%B8%AD%E5%B1%B1%E5%A4%A7%E5%AD%B8%E9%99%84%E5%B1%AC%E5%9C%8B%E5%85%89%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E5%BE%8C%E6%98%8C%E8%B7%AF512%E8%99%9F | https://ibus.tbkc.gov.tw/,https://kksh.nsysu.edu.tw/,https://kksh.nsysu.edu.tw/,https://kksh.nsysu.edu.tw/,2026-09-07
,543301,高雄市立中山高中,公立,高雄區學校名錄,高中,男女校,高雄市,楠梓區,高雄市楠梓區藍昌路416號,https://www.cshs.kh.edu.tw/,(07)3641116,普通科(日),,,請以各校當年度公告為準,高雄市立中山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立中山高中以語文、數理、自然與社會領域課程，搭配校訂必修、多元選修與自主學習為主，115學年度課程包含自然科學探究與實作、社會領域探究等學習內容。,高雄市立中山高中以自然科學探究與實作、社會領域探究、自主學習及成果發表作為高中階段的實作／專題型學習。,高雄市立中山高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由楠梓區捷運站或臺鐵楠梓站轉乘市區公車至藍昌路周邊站點，步行到高雄市立中山高中。,高雄市立中山高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E8%97%8D%E6%98%8C%E8%B7%AF416%E8%99%9F,https://www.cshs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.cshs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.cshs.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E4%B8%AD%E5%B1%B1%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E8%97%8D%E6%98%8C%E8%B7%AF416%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.cshs.kh.edu.tw/,https://www.cshs.kh.edu.tw/,https://www.cshs.kh.edu.tw/,2026-09-07
,543302,高雄市立楠梓高中,公立,高雄區學校名錄,綜高,男女校,高雄市,楠梓區,高雄市楠梓區清豐路19號,https://www.nths.kh.edu.tw/,(07)3550571,體育班(日),,,請以各校當年度公告為準,高雄市立楠梓高中的一般高中職學生住宿目前沒有固定公開申請資訊。,高雄市立楠梓高中兼具普通高中學術課程與體育班等專業方向，課程包含語文數理、探究學習、多元選修及技術專業課程，提供學術與職涯兩種延伸路徑。,高雄市立楠梓高中的體育班依115學年度課程安排專業實作、實習科目與專題製作，學生透過作品、操作練習及成果發表整合所學。,高雄市立楠梓高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由楠梓區捷運站或臺鐵楠梓站轉乘市區公車至清豐路周邊站點，步行到高雄市立楠梓高中。,高雄市立楠梓高中的一般高中職學生住宿目前沒有固定公開申請資訊。,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%A5%A0%E6%A2%93%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E6%B8%85%E8%B1%90%E8%B7%AF19%E8%99%9F,https://www.nths.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.nths.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://www.nths.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E9%9B%84%E5%B8%82%E7%AB%8B%E6%A5%A0%E6%A2%93%E9%AB%98%E4%B8%AD%20%E9%AB%98%E9%9B%84%E5%B8%82%E6%A5%A0%E6%A2%93%E5%8D%80%E6%B8%85%E8%B1%90%E8%B7%AF19%E8%99%9F | https://ibus.tbkc.gov.tw/,https://www.nths.kh.edu.tw/,https://www.nths.kh.edu.tw/,https://www.nths.kh.edu.tw/,2026-09-07
,551301,私立立志高中,私立,高雄區學校名錄,綜高,男女校,高雄市,三民區,807066 高雄市三民區大昌一路98號,https://w5.lcvs.kh.edu.tw/,(07)3922601,普通科(日)；汽車科(日)；汽車科(夜)；資訊科(日)；資訊科(夜)；電子科(日)；電機科(日)；電機科(夜)；資料處理科(日)；資料處理科(夜)；餐飲管理科(日)；餐飲管理科(夜)；電競經營科(日)；美容科(日)；美容科(夜)；照顧服務科(夜)；水電技術科(日),,,請以各校當年度公告為準,學校設有僑生專班宿舍；住宿資訊明確對應僑生專班學生，不作為一般高中職學生皆可住宿的依據。,私立立志高中兼具普通高中學術課程與汽車科、資訊科、電子科、電機科、資料處理科、餐飲管理科等專業方向，課程包含語文數理、探究學習、多元選修及技術專業課程，提供學術與職涯兩種延伸路徑。,私立立志高中各技術科別依115課程規劃安排實作與專題製作；僑生專班另有合作廠商實習與職涯銜接安排。,私立立志高中目前沒有固定公開的校車／學生專車路線資訊；一般公共運輸方式另列於「通勤資訊」。,可由臺鐵高雄站、捷運後驛站或高雄輕軌轉乘市區公車，在大昌一路周邊下車後步行到私立立志高中。,學校設有僑生專班宿舍；住宿資訊明確對應僑生專班學生，不作為一般高中職學生皆可住宿的依據。,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%AB%8B%E5%BF%97%E9%AB%98%E4%B8%AD%20807066%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E6%98%8C%E4%B8%80%E8%B7%AF98%E8%99%9F,https://w5.lcvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://w5.lcvs.kh.edu.tw/ | https://courset.k12ea.gov.tw/courseinformation/indexStu01.asp,https://w5.lcvs.kh.edu.tw/,https://www.google.com/maps/search/?api=1&query=%E7%A7%81%E7%AB%8B%E7%AB%8B%E5%BF%97%E9%AB%98%E4%B8%AD%20807066%20%E9%AB%98%E9%9B%84%E5%B8%82%E4%B8%89%E6%B0%91%E5%8D%80%E5%A4%A7%E6%98%8C%E4%B8%80%E8%B7%AF98%E8%99%9F | https://ibus.tbkc.gov.tw/,https://w5.lcvs.kh.edu.tw/index.php/ocs/,https://w5.lcvs.kh.edu.tw/,https://w5.lcvs.kh.edu.tw/,2026-09-07
